HSIbyAuth,Dan_Cohan,Sally_Gall,Goodwin_MX,Goodwin_AZ,Roy_Tomlinson,Dave_Ellis,Literature_AZ,Literature_MX
5.608649e-01,9.870634e-02,1.089384e-01,2.586529e-01,3.971131e-01,6.615019e-03,6.733033e-03,3.436312e-01,3.111245e-01
6.257500e-01,7.641058e-02,1.013383e-01,1.663835e-01,3.027649e-01,8.277593e-03,2.053133e-03,3.267236e-01,2.878851e-01
6.480973e-01,8.113421e-02,1.179042e-01,1.755283e-01,3.367792e-01,1.034328e-02,1.658394e-03,3.592349e-01,3.273890e-01
6.800629e-01,9.975286e-02,1.495813e-01,1.793634e-01,6.129561e-01,1.285920e-02,2.881267e-03,3.752658e-01,3.212850e-01
6.885915e-01,1.266211e-01,1.838275e-01,3.702582e-01,6.458687e-01,1.508278e-02,3.210341e-03,3.583975e-01,3.006321e-01
6.874195e-01,1.572384e-01,2.137222e-01,4.550710e-01,5.756392e-01,1.692194e-02,3.290457e-03,4.368170e-01,4.224213e-01
6.854071e-01,2.074806e-01,2.653919e-01,4.986410e-01,5.893044e-01,1.863596e-02,5.892187e-03,4.378145e-01,4.298886e-01
6.751135e-01,2.466717e-01,3.061706e-01,2.862030e-01,4.638498e-01,2.054157e-02,5.487333e-03,4.027105e-01,3.465165e-01
5.423942e-01,2.371611e-01,2.922761e-01,2.268994e-01,4.980149e-01,2.294974e-02,3.221464e-03,3.708544e-01,3.129943e-01
5.347498e-01,2.764109e-01,3.130000e-01,1.925034e-01,5.081749e-01,2.637272e-02,2.289554e-03,3.680168e-01,3.100947e-01
5.246102e-01,2.762095e-01,2.882989e-01,1.786280e-01,4.780903e-01,3.103167e-02,2.257535e-03,3.813278e-01,3.233573e-01
6.358163e-01,1.629733e-01,1.581768e-01,1.780653e-01,4.522692e-01,3.692318e-02,2.035490e-03,3.922341e-01,3.342384e-01
6.444931e-01,1.514813e-01,1.480989e-01,1.778014e-01,4.666051e-01,4.307366e-02,1.034813e-03,3.827281e-01,3.247188e-01
6.152928e-01,1.550464e-01,1.540979e-01,1.775974e-01,4.457073e-01,4.761452e-02,2.570907e-04,3.514439e-01,2.934203e-01
5.946893e-01,1.496409e-01,1.510779e-01,1.773286e-01,4.257098e-01,5.119458e-02,1.043308e-04,3.009930e-01,2.429549e-01
5.396210e-01,1.381941e-01,1.410621e-01,1.769291e-01,4.205989e-01,5.439899e-02,2.419295e-05,2.595578e-01,2.015115e-01
5.462745e-01,1.273418e-01,1.300407e-01,1.764433e-01,4.341928e-01,5.755922e-02,5.544328e-06,2.108968e-01,1.528472e-01
5.790466e-01,1.018868e-01,1.018868e-01,1.760090e-01,4.610112e-01,6.065079e-02,1.710544e-06,1.844304e-01,1.263840e-01
4.503231e-01,1.165004e-01,1.165004e-01,1.757354e-01,4.762333e-01,6.468076e-02,2.571033e-06,1.931387e-01,1.351122e-01
4.734463e-01,2.413381e-01,9.457343e-02,1.756117e-01,5.070386e-01,5.997253e-02,1.495288e-05,2.262691e-01,1.682625e-01
4.976990e-01,2.681902e-01,3.076106e-02,1.756281e-01,5.082366e-01,4.057523e-02,1.502845e-04,2.502179e-01,1.922111e-01
5.170156e-01,3.024218e-01,9.185767e-02,1.764020e-01,4.933862e-01,4.298204e-02,1.319666e-03,2.542148e-01,1.961901e-01
5.321631e-01,3.912895e-01,1.748721e-01,1.827536e-01,5.006938e-01,4.569550e-02,7.288128e-03,2.540540e-01,1.960277e-01
5.437330e-01,4.600479e-01,2.335792e-01,2.113528e-01,5.279912e-01,4.632837e-02,2.397347e-02,2.538025e-01,1.957935e-01
6.760341e-01,5.132635e-01,2.503192e-01,2.796273e-01,5.385469e-01,4.739116e-02,5.047410e-02,2.755293e-01,2.175472e-01
6.989135e-01,5.084600e-01,2.839988e-01,3.730506e-01,5.376736e-01,6.805243e-02,7.532507e-02,3.851613e-01,3.272007e-01
6.998817e-01,4.758310e-01,3.420385e-01,3.798095e-01,5.439147e-01,9.224186e-02,8.624358e-02,3.896693e-01,3.317080e-01
6.973858e-01,4.165477e-01,3.253415e-01,1.764749e-01,5.356247e-01,9.204668e-02,7.769184e-02,2.441449e-01,1.861470e-01
6.880688e-01,4.988544e-01,2.306374e-01,1.829199e-01,4.697585e-01,5.333834e-02,5.212291e-02,2.441807e-01,1.861049e-01
6.707434e-01,4.514416e-01,2.180611e-01,2.036122e-01,4.065512e-01,8.558349e-02,2.460946e-02,2.446996e-01,1.865119e-01
6.487978e-01,3.523061e-01,1.582025e-01,2.305171e-01,3.823023e-01,8.991839e-02,9.410202e-03,2.473292e-01,1.890195e-01
5.347619e-01,3.254260e-01,2.178120e-01,2.151889e-01,3.721503e-01,8.845788e-02,5.152660e-03,2.489585e-01,1.905540e-01
4.712131e-01,2.898661e-01,3.850611e-01,2.291867e-01,3.654908e-01,8.667617e-02,3.778128e-03,2.288329e-01,1.704057e-01
4.898963e-01,2.244157e-01,2.695869e-01,2.075749e-01,3.612557e-01,8.468222e-02,2.812496e-03,1.693649e-01,1.110113e-01
5.095851e-01,2.035429e-01,2.259766e-01,1.907841e-01,4.626895e-01,8.256633e-02,2.267893e-03,1.248149e-01,6.658059e-02
5.289025e-01,1.954968e-01,2.174350e-01,1.828895e-01,4.166485e-01,8.052534e-02,2.294198e-03,1.408094e-01,8.255139e-02
5.400220e-01,2.444780e-01,3.179735e-01,1.807558e-01,5.115902e-01,7.879103e-02,3.336313e-03,1.943929e-01,1.360287e-01
6.522073e-01,3.472010e-01,2.982347e-01,1.830016e-01,5.249808e-01,7.890849e-02,7.271069e-03,2.439067e-01,1.856246e-01
7.049184e-01,2.758330e-01,1.745709e-01,1.950491e-01,6.910659e-01,8.065595e-02,1.890358e-02,3.016304e-01,2.436985e-01
5.673015e-01,2.468561e-01,2.233103e-01,1.680604e-01,4.442614e-01,9.557218e-02,5.994949e-02,3.859663e-01,3.284030e-01
5.689709e-01,1.331125e-01,1.331125e-01,2.068203e-01,4.405472e-01,1.123293e-01,1.849581e-01,3.409393e-01,2.833782e-01
5.675022e-01,0.000000e+00,0.000000e+00,2.307831e-01,4.192785e-01,8.781654e-02,3.660452e-01,4.241679e-01,3.666094e-01
5.537445e-01,2.796158e-03,2.796158e-03,4.325853e-01,         NaN,1.586569e-01,5.221440e-02,1.761514e-01,1.177969e-01
5.781998e-01,7.022092e-03,7.022092e-03,4.800776e-01,         NaN,1.596856e-01,4.715872e-02,1.219758e-01,6.365098e-02
6.336097e-01,5.947079e-03,5.947079e-03,5.123698e-01,1.094712e-01,1.736549e-01,5.654685e-02,1.106168e-01,5.230623e-02
